59471a7e07e71de5fb967a61	If this cartoon is why #CharlieHebdo staff have been shot at, all publications should show solidarity and republish http://t.co/LGuUi7dj1u	If this cartoon is why #CharlieHebdo staff have been shot at, all publications should show solidarity and republish http://t.co/LGuUi7dj1u a man in a suit and tie with a tie .	If this cartoon is why #CharlieHebdo staff have been shot at, all publications should show solidarity and republish http://t.co/LGuUi7dj1u dadi ausw Especially the health l 	If this cartoon is why #CharlieHebdo staff have been shot at, all publications should show solidarity and republish http://t.co/LGuUi7dj1u a man in a suit and tie with a tie . dadi ausw Especially the health l 	a man in a suit and tie with a tie . dadi ausw Especially the health l 	0
59471a7e07e71de5fb967a65	Solidarity with Charlie Hebdo. http://t.co/gvLp0NwLax	Solidarity with Charlie Hebdo. http://t.co/gvLp0NwLax a person holding a piece of cake on a table .	Solidarity with Charlie Hebdo. http://t.co/gvLp0NwLax UNFILM WITH SURVISIAM DEDENCHE THE RAGE DES NTEGRİSTES &quot;INTELIGENT erON GAERSE HODİNE! 	Solidarity with Charlie Hebdo. http://t.co/gvLp0NwLax a person holding a piece of cake on a table . UNFILM WITH SURVISIAM DEDENCHE THE RAGE DES NTEGRİSTES &quot;INTELIGENT erON GAERSE HODİNE! 	a person holding a piece of cake on a table . UNFILM WITH SURVISIAM DEDENCHE THE RAGE DES NTEGRİSTES &quot;INTELIGENT erON GAERSE HODİNE! 	0
59471a7e07e71de5fb967a6b	Charlie Hebdo's Nov 2011 CHARIA HEBDO "guest-edited" by Muhammad:"100 lashes of the whip if you don't die laughing." http://t.co/5EzG448CNm	Charlie Hebdo's Nov 2011 CHARIA HEBDO "guest-edited" by Muhammad:"100 lashes of the whip if you don't die laughing." http://t.co/5EzG448CNm a man is holding a baseball bat and a man .	Charlie Hebdo's Nov 2011 CHARIA HEBDO "guest-edited" by Muhammad:"100 lashes of the whip if you don't die laughing." http://t.co/5EzG448CNm AP CHARIA HEBDO 100 DEAD SEVEN FROM Re! 	Charlie Hebdo's Nov 2011 CHARIA HEBDO "guest-edited" by Muhammad:"100 lashes of the whip if you don't die laughing." http://t.co/5EzG448CNm a man is holding a baseball bat and a man . AP CHARIA HEBDO 100 DEAD SEVEN FROM Re! 	a man is holding a baseball bat and a man . AP CHARIA HEBDO 100 DEAD SEVEN FROM Re! 	0
59471a7e07e71de5fb967a72	Charlie Hebdo's last cartoon on Twitter: Abu Bakr al-Baghdadi saying "and especially, health!" (New Year's greeting) http://t.co/UMEWDeR6z4	Charlie Hebdo's last cartoon on Twitter: Abu Bakr al-Baghdadi saying "and especially, health!" (New Year's greeting) http://t.co/UMEWDeR6z4 a man with a tie in his mouth .	Charlie Hebdo's last cartoon on Twitter: Abu Bakr al-Baghdadi saying "and especially, health!" (New Year's greeting) http://t.co/UMEWDeR6z4 al-Ba dadi auwiAnd all the Health l 	Charlie Hebdo's last cartoon on Twitter: Abu Bakr al-Baghdadi saying "and especially, health!" (New Year's greeting) http://t.co/UMEWDeR6z4 a man with a tie in his mouth . al-Ba dadi auwiAnd all the Health l 	a man with a tie in his mouth . al-Ba dadi auwiAnd all the Health l 	0
59471a7e07e71de5fb967a77	Jews, Catholics, Muslims, white people, black people. Everyone attacked by Charlie Hebdo, yet who reacts like this? http://t.co/gG5ZCJK9Ac	Jews, Catholics, Muslims, white people, black people. Everyone attacked by Charlie Hebdo, yet who reacts like this? http://t.co/gG5ZCJK9Ac 	Jews, Catholics, Muslims, white people, black people. Everyone attacked by Charlie Hebdo, yet who reacts like this? http://t.co/gG5ZCJK9Ac 	Jews, Catholics, Muslims, white people, black people. Everyone attacked by Charlie Hebdo, yet who reacts like this? http://t.co/gG5ZCJK9Ac  		0
59471a7e07e71de5fb967a7d	"Love Stronger Than Hate." All our thoughts with #CharlieHebdo http://t.co/BqRLXRZdJT	"Love Stronger Than Hate." All our thoughts with #CharlieHebdo http://t.co/BqRLXRZdJT a person holding a baseball bat and a man .	"Love Stronger Than Hate." All our thoughts with #CharlieHebdo http://t.co/BqRLXRZdJT CHARLIE HEBDO LOVE THE INDONESE &quot;OF NEW YORK, BY CABU CHARLIH HEBC 	"Love Stronger Than Hate." All our thoughts with #CharlieHebdo http://t.co/BqRLXRZdJT a person holding a baseball bat and a man . CHARLIE HEBDO LOVE THE INDONESE &quot;OF NEW YORK, BY CABU CHARLIH HEBC 	a person holding a baseball bat and a man . CHARLIE HEBDO LOVE THE INDONESE &quot;OF NEW YORK, BY CABU CHARLIH HEBC 	0
59471a7e07e71de5fb967a84	This is the #CharlieHebdo cover of Prophet Mohammed that provoked firebombing of its offices http://t.co/hOUA9DrVaK http://t.co/vDj5EGiRRq	This is the #CharlieHebdo cover of Prophet Mohammed that provoked firebombing of its offices http://t.co/hOUA9DrVaK http://t.co/vDj5EGiRRq a person holding a baseball bat and a man .	This is the #CharlieHebdo cover of Prophet Mohammed that provoked firebombing of its offices http://t.co/hOUA9DrVaK http://t.co/vDj5EGiRRq THE INTEGRITY CATHOS AGAINST THE HEAD, AR CHARIA HEBDO 100 DEATH From Re 1z 	This is the #CharlieHebdo cover of Prophet Mohammed that provoked firebombing of its offices http://t.co/hOUA9DrVaK http://t.co/vDj5EGiRRq a person holding a baseball bat and a man . THE INTEGRITY CATHOS AGAINST THE HEAD, AR CHARIA HEBDO 100 DEATH From Re 1z 	a person holding a baseball bat and a man . THE INTEGRITY CATHOS AGAINST THE HEAD, AR CHARIA HEBDO 100 DEATH From Re 1z 	0
59471a7e07e71de5fb967a8a	Why it's Charlie Hebdo's right to draw Muhammad http://t.co/GlF9dgwFS0 http://t.co/Vkfw5ZbmvC	Why it's Charlie Hebdo's right to draw Muhammad http://t.co/GlF9dgwFS0 http://t.co/Vkfw5ZbmvC a man is holding a donut in front of a cup .	Why it's Charlie Hebdo's right to draw Muhammad http://t.co/GlF9dgwFS0 http://t.co/Vkfw5ZbmvC INQUIRY: BERNARD ARNAULT&#39;S TAX PARADISE s PPE CHARLIE HEB CHARLIE HESD0 INTÉRRISM ÉcoLocir MAHOMET MAKES THE SOLUBLE PS IN THE CINEMA WEDDING HOM0 THE OFF-SERIE ANTINUC THE GAS OF SCHİSTE YES ARE FOR MEES, 1 İNTOUCHABLES2 	Why it's Charlie Hebdo's right to draw Muhammad http://t.co/GlF9dgwFS0 http://t.co/Vkfw5ZbmvC a man is holding a donut in front of a cup . INQUIRY: BERNARD ARNAULT&#39;S TAX PARADISE s PPE CHARLIE HEB CHARLIE HESD0 INTÉRRISM ÉcoLocir MAHOMET MAKES THE SOLUBLE PS IN THE CINEMA WEDDING HOM0 THE OFF-SERIE ANTINUC THE GAS OF SCHİSTE YES ARE FOR MEES, 1 İNTOUCHABLES2 	a man is holding a donut in front of a cup . INQUIRY: BERNARD ARNAULT&#39;S TAX PARADISE s PPE CHARLIE HEB CHARLIE HESD0 INTÉRRISM ÉcoLocir MAHOMET MAKES THE SOLUBLE PS IN THE CINEMA WEDDING HOM0 THE OFF-SERIE ANTINUC THE GAS OF SCHİSTE YES ARE FOR MEES, 1 İNTOUCHABLES2 	0
59471a7e07e71de5fb967aa3	in support of those that have died today in Paris #CharlieHebdo #freedomwillNeverDie http://t.co/FkkDZXChdt	in support of those that have died today in Paris #CharlieHebdo #freedomwillNeverDie http://t.co/FkkDZXChdt	in support of those that have died today in Paris #CharlieHebdo #freedomwillNeverDie http://t.co/FkkDZXChdt	in support of those that have died today in Paris #CharlieHebdo #freedomwillNeverDie http://t.co/FkkDZXChdt		0
59471a7e07e71de5fb967aaf	More Charlie Hebdo covers, including "the life of Mohamed". These are people willing to kill over a cartoon. http://t.co/VAEnDpBYSu	More Charlie Hebdo covers, including "the life of Mohamed". These are people willing to kill over a cartoon. http://t.co/VAEnDpBYSu a bunch of different types of scissors on a table .	More Charlie Hebdo covers, including "the life of Mohamed". These are people willing to kill over a cartoon. http://t.co/VAEnDpBYSu OFF-SERIE CHARLIE HEBDO LAVIE DE MAHOMET ERE PART THE BEGINNINGS OF A CHARB-ZINEB PROPHET 	More Charlie Hebdo covers, including "the life of Mohamed". These are people willing to kill over a cartoon. http://t.co/VAEnDpBYSu a bunch of different types of scissors on a table . OFF-SERIE CHARLIE HEBDO LAVIE DE MAHOMET ERE PART THE BEGINNINGS OF A CHARB-ZINEB PROPHET 	a bunch of different types of scissors on a table . OFF-SERIE CHARLIE HEBDO LAVIE DE MAHOMET ERE PART THE BEGINNINGS OF A CHARB-ZINEB PROPHET 	0
59471a7e07e71de5fb967ab5	Not 1st attack on #CharlieHebdo. Office was firebombed on 2 Nov '11 over controvers. caricature of Prophet Muhammad http://t.co/0wAINRJ1Z7	Not 1st attack on #CharlieHebdo. Office was firebombed on 2 Nov '11 over controvers. caricature of Prophet Muhammad http://t.co/0wAINRJ1Z7 a man is holding a baseball bat and a man .	Not 1st attack on #CharlieHebdo. Office was firebombed on 2 Nov '11 over controvers. caricature of Prophet Muhammad http://t.co/0wAINRJ1Z7 CHARIA HEBDO 100 SiVoUS 	Not 1st attack on #CharlieHebdo. Office was firebombed on 2 Nov '11 over controvers. caricature of Prophet Muhammad http://t.co/0wAINRJ1Z7 a man is holding a baseball bat and a man . CHARIA HEBDO 100 SiVoUS 	a man is holding a baseball bat and a man . CHARIA HEBDO 100 SiVoUS 	0
59471a7e07e71de5fb967ab9	Paris alert status raised to the highest level with #CharlieHebdo gunmen reportedly on the run http://t.co/xcK8lY9IeR http://t.co/tQuxQ06Q7f	Paris alert status raised to the highest level with #CharlieHebdo gunmen reportedly on the run http://t.co/xcK8lY9IeR http://t.co/tQuxQ06Q7f a man is holding a cell phone in front of a crowd .	Paris alert status raised to the highest level with #CharlieHebdo gunmen reportedly on the run http://t.co/xcK8lY9IeR http://t.co/tQuxQ06Q7f 12:21 TELE BENOIT BRINGER OURNALIST AT THE AGENCY FIRST LINES TELEVISION RGnsn Ter Firing on the Charlie Hebdo seat: 3 men in black entered the building heavily armed (iTELE). 4137 pts CAC 40 	Paris alert status raised to the highest level with #CharlieHebdo gunmen reportedly on the run http://t.co/xcK8lY9IeR http://t.co/tQuxQ06Q7f a man is holding a cell phone in front of a crowd . 12:21 TELE BENOIT BRINGER OURNALIST AT THE AGENCY FIRST LINES TELEVISION RGnsn Ter Firing on the Charlie Hebdo seat: 3 men in black entered the building heavily armed (iTELE). 4137 pts CAC 40 	a man is holding a cell phone in front of a crowd . 12:21 TELE BENOIT BRINGER OURNALIST AT THE AGENCY FIRST LINES TELEVISION RGnsn Ter Firing on the Charlie Hebdo seat: 3 men in black entered the building heavily armed (iTELE). 4137 pts CAC 40 	0
59471a7e07e71de5fb967abd	VIDEO from the scene of fatal shooting in Paris http://t.co/sL3aG464Lt #CharlieHebdo http://t.co/FLC3mR5C2S	VIDEO from the scene of fatal shooting in Paris http://t.co/sL3aG464Lt #CharlieHebdo http://t.co/FLC3mR5C2S a group of people standing around a bus stop .	VIDEO from the scene of fatal shooting in Paris http://t.co/sL3aG464Lt #CharlieHebdo http://t.co/FLC3mR5C2S DIRECT 12437 12:47 TELE AM PA POLICE POLICE GILLES BAKER N-003 FUSILLADE IN CHARLIE HEBDO URGENT Bringer (journalist) on shootings at &quot;Charlie Hebdo&quot; headquarters: &quot;We heard a lot of shots&quot; (TELE) CAC 40 	VIDEO from the scene of fatal shooting in Paris http://t.co/sL3aG464Lt #CharlieHebdo http://t.co/FLC3mR5C2S a group of people standing around a bus stop . DIRECT 12437 12:47 TELE AM PA POLICE POLICE GILLES BAKER N-003 FUSILLADE IN CHARLIE HEBDO URGENT Bringer (journalist) on shootings at &quot;Charlie Hebdo&quot; headquarters: &quot;We heard a lot of shots&quot; (TELE) CAC 40 	a group of people standing around a bus stop . DIRECT 12437 12:47 TELE AM PA POLICE POLICE GILLES BAKER N-003 FUSILLADE IN CHARLIE HEBDO URGENT Bringer (journalist) on shootings at &quot;Charlie Hebdo&quot; headquarters: &quot;We heard a lot of shots&quot; (TELE) CAC 40 	0
59471a7e07e71de5fb967ac0	It would go some way as a tribute to those killed at #CharlieHebdo if papers in every democracy published this Thurs http://t.co/CyqwWWWgJh	It would go some way as a tribute to those killed at #CharlieHebdo if papers in every democracy published this Thurs http://t.co/CyqwWWWgJh a person holding a baseball bat and a man .	It would go some way as a tribute to those killed at #CharlieHebdo if papers in every democracy published this Thurs http://t.co/CyqwWWWgJh THE INTEGRITY CATHOS AGAINST THE HEAD, AR CHARIA HEBDO 100 DEATH From Re 1z 	It would go some way as a tribute to those killed at #CharlieHebdo if papers in every democracy published this Thurs http://t.co/CyqwWWWgJh a person holding a baseball bat and a man . THE INTEGRITY CATHOS AGAINST THE HEAD, AR CHARIA HEBDO 100 DEATH From Re 1z 	a person holding a baseball bat and a man . THE INTEGRITY CATHOS AGAINST THE HEAD, AR CHARIA HEBDO 100 DEATH From Re 1z 	0
59471a7e07e71de5fb967ac3	French president #Hollande says there is no doubt attack on #CharlieHebdo is terrorist attack. http://t.co/Rve1Lp0EXf http://t.co/8LFA5LFSnS	French president #Hollande says there is no doubt attack on #CharlieHebdo is terrorist attack. http://t.co/Rve1Lp0EXf http://t.co/8LFA5LFSnS a man is holding a cell phone in front of a crowd .	French president #Hollande says there is no doubt attack on #CharlieHebdo is terrorist attack. http://t.co/Rve1Lp0EXf http://t.co/8LFA5LFSnS DIRE 2 50 2-50 TELE curonewS PARIS 12-50 . BREAKING NEWS HARLİEMEBD0 S FRANCES PRESIDENT HOLLANDE AT THE SCENE OF PARIS SHOOTING live i FRANCE: SHOOTING BREAKING NEWS ARIS. AU MOINS ONZE MORTS DONT UN POLICIER ET 10 BLESS  	French president #Hollande says there is no doubt attack on #CharlieHebdo is terrorist attack. http://t.co/Rve1Lp0EXf http://t.co/8LFA5LFSnS a man is holding a cell phone in front of a crowd . DIRE 2 50 2-50 TELE curonewS PARIS 12-50 . BREAKING NEWS HARLİEMEBD0 S FRANCES PRESIDENT HOLLANDE AT THE SCENE OF PARIS SHOOTING live i FRANCE: SHOOTING BREAKING NEWS ARIS. AU MOINS ONZE MORTS DONT UN POLICIER ET 10 BLESS  	a man is holding a cell phone in front of a crowd . DIRE 2 50 2-50 TELE curonewS PARIS 12-50 . BREAKING NEWS HARLİEMEBD0 S FRANCES PRESIDENT HOLLANDE AT THE SCENE OF PARIS SHOOTING live i FRANCE: SHOOTING BREAKING NEWS ARIS. AU MOINS ONZE MORTS DONT UN POLICIER ET 10 BLESS  	0
59471a7e07e71de5fb967ac5	DEVELOPING: Paris on high terrorist alert after #CharlieHebdo shooting - Hollande http://t.co/3Jsosc7yl3 http://t.co/Lvv3J8o6e8	DEVELOPING: Paris on high terrorist alert after #CharlieHebdo shooting - Hollande http://t.co/3Jsosc7yl3 http://t.co/Lvv3J8o6e8 a group of people walking down a street next to a bus .	DEVELOPING: Paris on high terrorist alert after #CharlieHebdo shooting - Hollande http://t.co/3Jsosc7yl3 http://t.co/Lvv3J8o6e8	DEVELOPING: Paris on high terrorist alert after #CharlieHebdo shooting - Hollande http://t.co/3Jsosc7yl3 http://t.co/Lvv3J8o6e8 a group of people walking down a street next to a bus .	a group of people walking down a street next to a bus .	0
59471a7e07e71de5fb967aca	Check this photo via journo @EliseBarthet. Alleged pic of the gunmen facing a police car near #CharlieHebdo offices: http://t.co/eBpt190LD0	Check this photo via journo @EliseBarthet. Alleged pic of the gunmen facing a police car near #CharlieHebdo offices: http://t.co/eBpt190LD0 a street scene with a street sign and a street sign .	Check this photo via journo @EliseBarthet. Alleged pic of the gunmen facing a police car near #CharlieHebdo offices: http://t.co/eBpt190LD0	Check this photo via journo @EliseBarthet. Alleged pic of the gunmen facing a police car near #CharlieHebdo offices: http://t.co/eBpt190LD0 a street scene with a street sign and a street sign .	a street scene with a street sign and a street sign .	0
59471a7f07e71de5fb967b39	Here are some of the satirical pictures Charlie Hebdo have produced #freespeech #BanIslam http://t.co/m4OaNCf5e0	Here are some of the satirical pictures Charlie Hebdo have produced #freespeech #BanIslam http://t.co/m4OaNCf5e0	Here are some of the satirical pictures Charlie Hebdo have produced #freespeech #BanIslam http://t.co/m4OaNCf5e0	Here are some of the satirical pictures Charlie Hebdo have produced #freespeech #BanIslam http://t.co/m4OaNCf5e0		0
59471a7f07e71de5fb967b3d	#CharlieHebdo - Hollande: Media shooting was 'undoubtedly terrorist attack'. Photo: Kenzo Tribouillard #AFP http://t.co/ZK41w7J7yc	#CharlieHebdo - Hollande: Media shooting was 'undoubtedly terrorist attack'. Photo: Kenzo Tribouillard #AFP http://t.co/ZK41w7J7yc a man in a suit and tie with a tie .	#CharlieHebdo - Hollande: Media shooting was 'undoubtedly terrorist attack'. Photo: Kenzo Tribouillard #AFP http://t.co/ZK41w7J7yc KENZO TRIBOUILLARD AR 	#CharlieHebdo - Hollande: Media shooting was 'undoubtedly terrorist attack'. Photo: Kenzo Tribouillard #AFP http://t.co/ZK41w7J7yc a man in a suit and tie with a tie . KENZO TRIBOUILLARD AR 	a man in a suit and tie with a tie . KENZO TRIBOUILLARD AR 	0
